u,v,jaccard,adamic_adar
akuegel,yashk2810,0.0,0.0
akuegel,ggawryal,0.0,0.0
akuegel,bixia1,0.0,0.0
akuegel,shawnwang18,0.16666666666666666,0.5581106265512472
akuegel,Tixxx,0.0,0.0
akuegel,pizzud,0.0,0.0
akuegel,akhilgoe,0.0,0.0
akuegel,majnemer,0.0,0.0
akuegel,tensorflower-gardener,0.09090909090909091,0.7213475204444817
akuegel,alexander-shaposhnikov,0.0,0.0
akuegel,cantonios,0.0,0.0
akuegel,mrguenther,0.0,0.0
akuegel,mkuperst,0.0,0.0
akuegel,mtsokol,0.0,0.0
akuegel,protobird-git,0.0,0.0
akuegel,deqiangc,0.0,0.0
akuegel,mooskagh,0.0,0.0
akuegel,ermilovmaxim,0.16666666666666666,0.5581106265512472
akuegel,mraunak,0.0,0.0
akuegel,zvikinoza,0.0,0.0
akuegel,nvgrw,0.16666666666666666,0.7213475204444817
akuegel,allanrenucci,0.16666666666666666,0.5581106265512472
akuegel,ezhulenev,0.0,0.0
akuegel,apivovarov,0.25,0.9102392266268373
ethanluoyc,Becker-ZH,0.0,0.0
ethanluoyc,pifon2a,0.0,0.0
ethanluoyc,sharadmv,0.0,0.0
ethanluoyc,vwbaker,0.0,0.0
ethanluoyc,jakeharmon8,0.0,0.0
ethanluoyc,mwhittaker,0.0,0.0
ethanluoyc,chsigg,0.0,0.0
ethanluoyc,belitskiy,0.0,0.0
ethanluoyc,WillFroom,0.0,0.0
ethanluoyc,EusebioDM,0.0,0.0
ethanluoyc,hugomano,0.0,0.0
ethanluoyc,Moerafaat,0.0,0.0
ethanluoyc,alekstheod,0.0,0.0
ethanluoyc,thomasjoerg,0.0,0.0
ethanluoyc,jpienaar,0.0,0.0
ethanluoyc,yashk2810,0.0,0.0
ethanluoyc,ggawryal,0.0,0.0
ethanluoyc,bixia1,0.0,0.0
ethanluoyc,shawnwang18,0.0,0.0
ethanluoyc,Tixxx,0.0,0.0
ethanluoyc,akhilgoe,0.0,0.0
ethanluoyc,majnemer,0.0,0.0
ethanluoyc,tensorflower-gardener,0.0,0.0
ethanluoyc,alexander-shaposhnikov,0.0,0.0
ethanluoyc,cantonios,0.0,0.0
ethanluoyc,mrguenther,0.0,0.0
ethanluoyc,mkuperst,0.0,0.0
ethanluoyc,mtsokol,0.0,0.0
ethanluoyc,protobird-git,0.0,0.0
ethanluoyc,beckerhe,0.0,0.0
ethanluoyc,deqiangc,0.0,0.0
ethanluoyc,mooskagh,0.0,0.0
ethanluoyc,ermilovmaxim,0.0,0.0
ethanluoyc,mraunak,0.0,0.0
ethanluoyc,zvikinoza,0.0,0.0
ethanluoyc,nvgrw,0.0,0.0
ethanluoyc,allanrenucci,0.0,0.0
